score_percent,title,company,location,matched_skills,url
20.0,"Senior Data & Business Intelligence Specialist (Python, SQL, PySpark)","First Focus Information Technology, Inc.",,"Python, SQL",https://ph.jobstreet.com/job/93108867?type=standard&ref=search-standalone&origin=cardTitle#sol=06b82fc6746946794de37fc8f091708c74cbb801
20.0,Full Stack Software Engineer (Java/Python/React),RCG Global Services,,"Python, Automation",https://ph.jobstreet.com/job/92890871?type=standard&ref=search-standalone&origin=cardTitle#sol=6e650bb7aa6a746f31cb7f068ecf5a568a6b4a92
20.0,Python AI Developer - Hybrid Set Up,"J-K NETWORK RECRUITMENT SERVICES AND CONSULTANCY, INC.",,"Python, Automation",https://ph.jobstreet.com/job/92936385?type=standard&ref=search-standalone&origin=cardTitle#sol=22481a186c781bd09332cf9d7217c51110c7d5ab
20.0,Data Engineer,RAFI MICRO-FINANCE,,"Automation, Reporting",https://ph.jobstreet.com/job/92457005?type=standard&ref=search-standalone&origin=cardTitle#sol=919b035cf66f1e7bac2ab3d735a3f7966d2ab070
20.0,"Python Developer (APIs, Automation, Data Processing)",Accenture,,"Python, Automation",https://ph.jobstreet.com/job/92730506?type=standard&ref=search-standalone&origin=cardTitle#sol=21ec3be0d7204b216516528c9354ef7b5c30bcbf
10.0,Python Developer (AWS experience) | Work from Home,Satellite Office,,Python,https://ph.jobstreet.com/job/93098564?type=standard&ref=search-standalone&origin=cardTitle#sol=c514d42bdb72ef3d7af975a20c33bdf44fbbb538
10.0,Junior Python Developer,SupportNinja,,Python,https://ph.jobstreet.com/job/92783879?type=standard&ref=search-standalone&origin=cardTitle#sol=8bdf7bdee2b20244fc99537d86ab64cc6bf27636
10.0,AI/Automation Specialist - Web Development Company,Happy Panda Inc.,,Automation,https://ph.jobstreet.com/job/89905549?type=standard&ref=search-standalone&origin=cardTitle#sol=b87c423e23faf29bdd3949ed98d119aeb660513c
10.0,AI/Automation Specialist - Web Development Company,Private Advertiser,,Automation,https://ph.jobstreet.com/job/89990949?type=standard&ref=search-standalone&origin=cardTitle#sol=f64eac0b34676a527a112d0ccfbea2de24c4d2af
10.0,Jr.-Sr. Python Developer - FULL ONSITE - EASTWOOD - SHIFTING,Acquire Intelligence,,Python,https://ph.jobstreet.com/job/92530908?type=standard&ref=search-standalone&origin=cardTitle#sol=8ad38497575c8d87cb0dfc94638aab8db633a280
10.0,Python Engineering Developer,Civicom Pacific Corp.,,Python,https://ph.jobstreet.com/job/92872571?type=standard&ref=search-standalone&origin=cardTitle#sol=267dc569dc368ead86cf6fb180435ba1ed649abd
10.0,Web Developer (PHP/Python) -Mid Level,ELGADA BPO SOLUTIONS INC.,,Python,https://ph.jobstreet.com/job/92836564?type=standard&ref=search-standalone&origin=cardTitle#sol=a5ece0144e510107a0abf3947b24c8fc1d6d00a9
10.0,"Technical Developer (PYTHON, REACT, CI/CD, GEN AI) US CLIENT",Quess Philippines Corp.,,Python,https://ph.jobstreet.com/job/93105364?type=standard&ref=search-standalone&origin=cardTitle#sol=981af61b3dda3b3efa0eb77e3cbffeb5aabfcd92
10.0,Back-End Developer (Python) [EASTWOOD - ONSITE - SHIFTING SCHED],Acquire Intelligence,,Python,https://ph.jobstreet.com/job/92482671?type=standard&ref=search-standalone&origin=cardTitle#sol=46210ca01f717291290fbb9c43c505f19220cd5e
10.0,Python Developer,Satellite Office,,Python,https://ph.jobstreet.com/job/93099552?type=standard&ref=search-standalone&origin=cardTitle#sol=c8cee80df1914f6cea518fbf40a047d67d805b2c
10.0,Python Developer,CloudManila Philippines Inc,,Python,https://ph.jobstreet.com/job/92518109?type=standard&ref=search-standalone&origin=cardTitle#sol=9ba57ba64f44a40714b0ad1cbf19bc41c32e9133
10.0,Java/Python/AI Engineer (Work-from-home),"Nelnet Philippines, Inc.",,Python,https://ph.jobstreet.com/job/92889411?type=standard&ref=search-standalone&origin=cardTitle#sol=bb64879280591bcaec5dffa91682469a764451a0
10.0,Senior Python Developer,ELGADA BPO SOLUTIONS INC.,,Python,https://ph.jobstreet.com/job/92672329?type=standard&ref=search-standalone&origin=cardTitle#sol=27eaf8247339d5bb15be2633afc4b310131ce931
10.0,Senior Backend Developer (Python/Django),Global Brainforce Inc.,,Python,https://ph.jobstreet.com/job/92754799?type=standard&ref=search-standalone&origin=cardTitle#sol=39f4699d93ec32d3c86b9ced7e7e6f9a5394140d
10.0,Junior AI Consultant/Developer [ONSITE/ORTIGAS/DAYSHIFT],Acquire Intelligence,,Automation,https://ph.jobstreet.com/job/92990550?type=standard&ref=search-standalone&origin=cardTitle#sol=7bcdd2a7cbba5dcfacb37db620cc9211b364a687
10.0,Senior Data Engineer/Python Developer,Apteum Corp,,Python,https://ph.jobstreet.com/job/92621718?type=standard&ref=search-standalone&origin=cardTitle#sol=0a648206d7142ad5afc6e5b6b141158ed7ff5cf9
10.0,Senior Backend Developer (Python/Django),Arcanys,,Python,https://ph.jobstreet.com/job/93089316?type=standard&ref=search-standalone&origin=cardTitle#sol=7f598d4833dc28304988530110d86c95e2160da2
10.0,Senior Backend Engineer (Python) - Python (Hybrid 2x/month - Alabang),KMC Solutions,,Python,https://ph.jobstreet.com/job/93070847?type=standard&ref=search-standalone&origin=cardTitle#sol=8f7924fee7a70d32ce74b5f2c1e16a703dc509dd
10.0,Jr./Sr. Data Analyst (Python Focus),Kooapps,,Python,https://ph.jobstreet.com/job/92696072?type=standard&ref=search-standalone&origin=cardTitle#sol=e4f07d159b2271c210fa72e3dfef83d5ed0b8a74
10.0,"Senior Python Developer (Backend, Cloud, APIs)",Accenture,,Python,https://ph.jobstreet.com/job/92925373?type=standard&ref=search-standalone&origin=cardTitle#sol=cf7f038c0c571ce7344f494ada95f264f42bb9b0
